"variableName", "category", "profession", "value", "emoji3"
"bar-width", "number", "Agricultural Laborers", "98400", "👨🏿‍🌾"
"bar-width", "number", "Farmers and Planters", "63012", "👩🏿‍🌾"
"bar-width", "number", "Laborers", "29723", "👷🏿"
"bar-width", "number", "Steam Railway Employes", "7440", "👷🏿"
"bar-width", "number", "Servants", "7000", "🧑🏿‍🍳"
"bar-width", "number", "Draymen, Hackmen", "4390", "👨🏿‍✈️"
"bar-width", "number", "Carpenters and Joiners", "3781", "👷🏿"
"bar-width", "number", "Saw and Planing Mill Empoyes", "2471", "👷🏿" 
"bar-width", "number", "Messengers", "1970", "📨"
"bar-width", "number", "Wood Choppers", "1399", "👨🏿‍🏭"
"bar-width", "number", "Blacksmiths and Wheelwrights", "1328", "👨🏿‍🏭"
"bar-width", "number", "Clergymen", "1277", "👨🏿‍🦳"
"bar-width", "number", "Masons", "1243", "👷🏿‍♂️"
"bar-width", "number", "Brick-Makers and Potters", "977", "👨🏿‍🏭"
"bar-width", "number", "Barbers", "899", "💇🏿"
"bar-width", "number", "Merchants", "837", "📦"
"bar-width", "number", "Paintrs, Glaziers and Varnishers", "676", "🪟"
"bar-width", "number", "Boot and Shoe Makers", "632", "🔨"
"bar-width", "number", "Professors and Teachers", "620", "🎓"
"bar-width", "number", "Livery Stable Keepers", "620", "🚛"
"bar-width", "number", "Engineers", "520", "👨🏿‍🔬"
"bar-width", "number", "Gardeners and Florists", "519", "👨🏿‍🌾"
