County1890,Acres1899,Color,UPPER_NAME
Appling,"15234","106,126,170",APPLING
Baker,"7121","106,126,170",BAKER
Baldwin,"5440","211,201,174",BALDWIN
Banks,"3623","239,180,0",BANKS
Bartow,"5594","226,126,130",BARTOW
Berrien,"4604","199,25,55",BERRIEN
Bibb,"4198","211,201,174",BIBB
Brooks,"14723","226,126,130",BROOKS
Bryan,"11157","53,80,68",BRYAN
Bulloch,"12379","226,126,130",BULLOCH
Burke,"28514","199,25,55",BURKE
Butts,"1163","239,180,0",BUTTS
Calhoun,"6974","211,201,174",CALHOUN
Camden,"4052","189,139,111",CAMDEN
Campbell,"2198","199,25,55",CAMPBELL
Carroll,"4238","211,201,174",CARROLL
Catoosa,"672","189,139,111",CATOOSA
Charlton,"4799","211,201,174",CHARLTON
Chatham,"6308","239,180,0",CHATHAM
Chattahoochee,"4879","226,126,130",CHATTAHOOCHEE
Chattooga,"3508","199,25,55",CHATTOOGA
Cherokee,"4175","239,180,0",CHEROKEE
Clarke,"5184","189,139,111",CLARKE
Clay,"5859","226,126,130",CLAY
Clayton,"1603","189,139,111",CLAYTON
Clinch,"5273","189,139,111",CLINCH
Cobb,"7373","211,201,174",COBB
Coffee,"22718","211,201,174",COFFEE
Colquitt,"277","211,201,174",COLQUITT
Columbia,"6158","211,201,174",COLUMBIA
Coweta,"5238","106,126,170",COWETA
Crawford,"9238","239,180,0",CRAWFORD
Dade,"468","106,126,170",DADE
Dawson,"560","199,25,55",DAWSON
Decatur,"41520","189,139,111",DECATUR
Dekalb,"1768","53,80,68",DEKALB
Dodge,"15901","239,180,0",DODGE
Dooly,"11338","189,139,111",DOOLY
Dougherty,"10817","189,139,111",DOUGHERTY
Douglas,"5344","226,126,130",DOUGLAS
Early,"18536","199,25,55",EARLY
Echols,"3013","53,80,68",ECHOLS
Effingham,"11216","106,126,170",EFFINGHAM
Elbert,"9500","189,139,111",ELBERT
Emanuel,"20467","106,126,170",EMANUEL
Fannin,"130","106,126,170",FANNIN
Fayette,"1563","53,80,68",FAYETTE
Floyd,"12032","189,139,111",FLOYD
Forsyth,"1950","53,80,68",FORSYTH
Franklin,"3315","53,80,68",FRANKLIN
Fulton,"1141","239,180,0",FULTON
Gilmer,"680","189,139,111",GILMER
Glascock,"298","199,25,55",GLASCOCK
Glynn,"15509","106,126,170",GLYNN
Gordon,"2500","106,126,170",GORDON
Greene,"7477","226,126,130",GREENE
Gwinnett,"2714","189,139,111",GWINNETT
Habersham,"2510","199,25,55",HABERSHAM
Hall,"3534","211,201,174",HALL
Hancock,"20861","189,139,111",HANCOCK
Haralson,"2221","199,25,55",HARALSON
Harris,"12248","106,126,170",HARRIS
Hart,"2806","226,126,130",HART
Heard,"3217","226,126,130",HEARD
Henry,"3899","211,201,174",HENRY
Houston,"14204","53,80,68",HOUSTON
Irwin,"12384","226,126,130",IRWIN
Jackson,"5414","226,126,130",JACKSON
Jasper,"5785","53,80,68",JASPER
Jefferson,"8100","189,139,111",JEFFERSON
Johnson,"3656","239,180,0",JOHNSON
